aX,aY,aZ,gX,gY,gZ
-0.958,-0.232,-0.087,-1.648,0.977,0.244
-0.949,-0.223,-0.085,-0.977,0.244,-0.977
-0.941,-0.221,-0.107,0.183,-0.854,-1.099
-0.947,-0.229,-0.108,-0.366,-1.343,-0.916
-0.965,-0.235,-0.098,-0.305,-1.099,0.61
-0.956,-0.225,-0.094,-1.343,-0.061,0.488
-0.971,-0.264,-0.09,-2.014,-1.77,1.709

-0.909,0.447,-0.177,22.095,1.099,-50.11
-0.869,0.42,-0.196,21.79,0.61,-51.453
-0.847,0.373,-0.224,21.973,-0.488,-52.673
-0.829,0.303,-0.242,24.048,-0.427,-52.49
-0.807,0.233,-0.248,25.879,-0.427,-50.903
-0.791,0.179,-0.239,27.527,-0.488,-48.279
-0.896,0.342,-0.375,81.665,-24.353,8.118
-0.969,0.768,-0.224,63.782,-15.686,28.442
-0.869,1.304,0.03,60.669,4.639,12.146
-0.747,1.067,0.175,12.329,-6.47,-4.15
-0.596,0.65,0.109,71.533,-26.489,-4.456
-0.753,0.463,-0.004,49.622,-3.235,10.742
-0.86,0.386,-0.046,-14.16,-4.7,-3.845
-0.832,0.464,-0.034,-19.409,-8.118,-4.639
-0.832,0.48,-0.044,-16.541,-8.85,-1.587
-0.926,0.396,-0.001,-26.855,-8.911,5.127
-0.921,0.425,-0.069,-26.794,-0.916,6.531
-0.956,0.43,-0.079,-33.63,7.629,3.967
-0.903,0.362,-0.064,-47.546,9.888,-6.287
-0.845,0.547,-0.068,-42.175,10.498,-8.118
-0.826,0.473,-0.175,-10.437,-0.854,-12.451
-0.807,0.401,-0.188,4.761,0.671,-6.592
-0.837,0.456,-0.165,12.024,2.197,6.775
-0.784,0.534,-0.16,12.268,2.686,7.019
-0.809,0.549,-0.136,1.831,-2.625,0.916
-0.824,0.538,-0.113,0.61,-3.357,-0.916
-0.816,0.491,-0.12,5.066,-0.916,1.526
-0.804,0.482,-0.117,3.296,2.808,1.343
-0.82,0.474,-0.107,-1.038,3.418,1.16
-0.845,0.44,-0.12,-16.479,1.465,-3.174
-0.842,0.438,-0.101,-17.883,1.831,-3.418
-0.81,0.447,-0.082,-7.507,-2.319,-0.488
-0.83,0.456,-0.124,0.793,-3.174,1.587
-0.83,0.41,-0.163,0.427,-0.61,3.418
-0.822,0.441,-0.151,-7.629,3.296,5.798
-0.821,0.536,-0.122,-12.634,0.549,3.662
-0.831,0.554,-0.095,-13.55,0.122,1.831
-0.829,0.562,-0.095,-8.362,-0.305,2.319
-0.826,0.577,-0.096,-2.991,-0.916,2.808
-0.823,0.562,-0.094,-0.366,-1.221,2.686
-0.824,0.539,-0.098,7.812,-1.221,2.136
-0.834,0.46,-0.152,8.789,-0.671,1.404
-0.832,0.443,-0.154,6.775,-0.122,1.526
-0.823,0.446,-0.166,2.869,1.648,0.977
-0.826,0.472,-0.13,-1.038,1.099,0.854
-0.827,0.491,-0.123,-1.404,-0.122,0.916
-0.831,0.466,-0.14,-1.16,-0.977,1.16
-0.825,0.44,-0.151,-1.953,0.61,1.831
-0.828,0.501,-0.125,-3.235,1.953,1.648
-0.825,0.504,-0.127,-2.93,0.793,0.61
-0.832,0.52,-0.118,-1.099,-0.366,-1.099
-0.842,0.483,-0.116,-2.136,0.916,-1.648
-0.837,0.447,-0.134,-0.183,0.977,-1.343
-0.827,0.465,-0.153,0.061,-1.526,2.014
-0.836,0.448,-0.153,-0.183,-1.404,1.953
-0.825,0.487,-0.143,-0.122,0.916,-0.916
-0.825,0.477,-0.142,-0.732,0.854,-1.282
-0.83,0.485,-0.146,-2.014,0.793,-1.343
-0.826,0.484,-0.145,-1.953,1.343,-1.343
-0.829,0.473,-0.148,-1.099,-0.061,-1.099
-0.836,0.472,-0.145,-0.183,-0.122,-1.038
-0.834,0.486,-0.137,1.099,0.854,-0.488
-0.824,0.488,-0.143,2.136,0.854,-0.549
-0.824,0.484,-0.139,0.793,0.427,-0.854
-0.832,0.49,-0.129,0.488,0.122,-0.854
-0.828,0.471,-0.146,2.747,-0.305,-0.305
-0.832,0.472,-0.143,1.709,0.793,0.183
-0.83,0.468,-0.142,1.282,0.732,0.305
-0.838,0.5,-0.128,0.366,1.282,0.305
-0.825,0.515,-0.126,1.343,1.221,-0.366
-0.823,0.498,-0.129,1.709,1.038,-1.038
-0.826,0.484,-0.134,1.526,0.671,-1.038
-0.825,0.479,-0.135,1.404,0.793,-1.16
-0.828,0.47,-0.135,1.099,0.427,0.366
-0.825,0.474,-0.137,1.221,0.366,0.61
-0.824,0.473,-0.145,2.197,0.427,1.038
-0.828,0.476,-0.141,1.587,1.343,0.854
-0.83,0.48,-0.13,-0.244,1.282,0.916
-0.829,0.466,-0.13,0.793,0.488,0.061
-0.833,0.46,-0.138,0.183,0.732,0.305
-0.831,0.457,-0.135,-0.366,1.099,0.732
-0.829,0.463,-0.13,-0.61,1.404,1.343
-0.828,0.468,-0.129,-0.427,1.526,1.404
-0.836,0.484,-0.114,-1.587,0.732,2.38
-0.826,0.499,-0.108,-1.282,0.305,2.869
-0.823,0.506,-0.101,-0.732,-0.183,2.441
-0.818,0.492,-0.111,0.488,-0.854,0.916
-0.835,0.443,-0.117,-3.845,-0.488,1.343
-0.843,0.503,-0.099,-2.625,1.038,-0.122
-0.822,0.496,-0.094,1.709,-0.488,0.183
-0.826,0.51,-0.11,3.479,-1.099,0.061
-0.834,0.462,-0.149,5.432,-1.221,-1.038
-0.846,0.438,-0.132,1.709,0.244,0.0
-0.85,0.434,-0.136,1.282,0.732,0.366
-0.853,0.412,-0.14,0.488,0.488,0.732
-0.867,0.456,-0.137,-0.427,-0.366,2.075
-0.845,0.476,-0.137,-0.977,-0.549,1.099
-0.826,0.48,-0.14,1.587,-0.122,-0.427
-0.838,0.452,-0.128,-0.366,0.305,-0.549
-0.836,0.45,-0.129,-1.404,-0.122,-0.854
-0.836,0.448,-0.132,-1.282,-0.061,-0.916
-0.84,0.455,-0.135,0.122,-0.061,-0.61
-0.84,0.497,-0.137,2.136,0.977,-1.404
-0.828,0.448,-0.143,-0.427,0.549,-2.686
-0.839,0.473,-0.131,-3.54,0.977,-2.563
-0.832,0.477,-0.13,-4.211,0.793,-2.869
-0.816,0.497,-0.132,-0.122,0.916,-2.991
-0.826,0.464,-0.144,-0.305,-0.183,-2.502
-0.836,0.455,-0.136,-1.709,0.061,-1.526
-0.826,0.466,-0.131,-1.099,-0.244,-1.038
-0.829,0.489,-0.127,-0.183,-0.549,-0.916
-0.83,0.497,-0.13,0.916,-0.488,-0.916
-0.825,0.491,-0.129,2.686,0.0,-1.038
-0.826,0.482,-0.126,0.305,0.061,-0.977
-0.826,0.485,-0.128,0.183,0.061,-1.038
-0.827,0.483,-0.128,-0.122,-0.305,-1.16
-0.831,0.495,-0.124,0.244,-0.488,-1.099
-0.823,0.485,-0.125,0.916,-0.366,-0.916
-0.824,0.492,-0.129,0.488,-0.549,-0.854

-0.904,0.452,-0.151,11.78,3.174,-13.428
-0.906,0.452,-0.14,13.428,4.761,-15.015
-0.906,0.432,-0.143,15.625,5.249,-17.09
-0.914,0.391,-0.156,18.372,4.822,-18.25
-0.933,0.338,-0.167,19.714,3.357,-18.677
-1.116,0.335,-0.159,25.757,5.981,-6.836
-1.107,0.318,-0.149,24.109,7.629,-4.089
-1.158,0.026,-0.111,20.874,19.897,26.855
-1.146,-0.176,0.187,32.104,45.959,87.463
-1.251,0.254,-0.357,51.636,-45.837,156.738
-1.383,0.471,-0.039,-26.489,-31.067,147.522
-1.323,0.433,0.123,-12.085,-5.798,159.912
-1.298,0.427,0.136,-10.864,-6.104,162.537
-1.222,0.356,-0.053,-42.297,-28.992,167.175
-0.932,0.427,-0.029,1.831,-33.936,119.812
-0.745,0.204,0.007,-42.542,-14.038,50.354
-0.737,0.211,-0.015,-52.246,-6.348,42.48
-0.703,0.148,0.022,-78.369,13.977,7.629
-0.765,0.009,0.038,-76.172,19.836,9.949
-0.788,-0.124,-0.119,-64.88,2.991,11.597
-0.802,-0.268,-0.045,-23.682,-27.283,-20.935
-1.048,-0.606,0.043,-62.744,-13.977,-20.264
-0.934,-0.338,-0.236,-31.86,-7.812,-13.855
-1.009,0.107,-0.541,-14.465,-28.137,-17.822
-1.407,-0.618,-0.013,-50.476,38.879,2.319
-1.38,-0.524,-0.048,-54.443,2.869,18.738
-0.909,0.529,0.098,-9.277,20.63,-4.028
-0.781,0.543,-0.07,35.4,7.996,-10.376
-0.702,0.299,-0.353,50.964,-21.057,-34.79
-1.054,-0.22,-0.278,2.014,-46.021,-26.184
-1.138,-0.207,-0.206,-28.992,-12.878,-11.597
-1.01,-0.155,-0.184,-28.625,10.742,-13.123
-0.922,-0.113,-0.11,-20.081,16.235,-17.822
-0.854,-0.171,-0.14,-23.438,9.155,-22.034
-0.984,-0.11,-0.162,-29.48,-4.089,-11.536
-1.011,-0.107,-0.161,-26.001,-4.15,-7.385
-0.96,-0.108,-0.098,-4.395,-2.808,0.183
-1.024,-0.216,-0.079,18.433,-8.179,-1.282
-0.996,-0.215,-0.137,15.015,-5.737,4.822
-0.966,-0.189,-0.161,10.681,0.916,4.089
-0.963,-0.186,-0.172,0.549,7.385,1.16
-0.989,-0.185,-0.137,-3.845,7.446,1.282
-0.986,-0.153,-0.142,-5.493,7.629,1.404
-0.957,-0.115,-0.13,-3.723,5.127,2.563
-0.958,-0.131,-0.091,-3.113,5.188,3.113
-0.963,-0.153,-0.094,-1.282,4.517,2.502
-0.983,-0.18,-0.105,-3.906,-0.305,1.404
-0.981,-0.17,-0.065,-5.188,2.991,0.854
-0.985,-0.185,-0.076,-4.272,2.625,0.977
-0.997,-0.161,-0.058,-4.456,3.662,1.953
-0.976,-0.131,-0.024,1.221,5.005,1.099
-0.977,-0.143,-0.021,5.554,4.639,-1.587
-0.959,-0.166,-0.077,8.728,1.648,-2.38
-0.951,-0.17,-0.085,9.46,-0.061,-2.991
-0.954,-0.185,-0.088,7.629,0.854,-1.343
-0.986,-0.22,-0.107,-0.732,1.465,0.122
-0.981,-0.194,-0.112,0.183,0.183,-0.061
-0.975,-0.13,-0.064,3.174,-1.221,1.038
-0.977,-0.153,-0.118,6.958,-1.343,0.854
-0.965,-0.158,-0.101,6.897,-1.587,0.305
-0.959,-0.155,-0.081,5.798,-0.549,-0.305
-0.964,-0.151,-0.086,2.686,0.793,3.54
-0.961,-0.166,-0.093,3.723,-0.854,2.625
-0.98,-0.15,-0.104,3.418,-1.465,1.343
-0.98,-0.176,-0.132,0.793,-0.061,3.357
-0.968,-0.149,-0.104,-3.357,2.136,3.54
-0.961,-0.132,-0.099,-2.441,1.648,2.747
-0.973,-0.157,-0.11,0.427,-0.244,1.038
-0.974,-0.153,-0.092,-1.709,1.343,1.831
