aX,aY,aZ,gX,gY,gZ
-0.904,0.261,-0.254,-0.183,1.221,0.854
-0.906,0.262,-0.252,-0.061,0.977,0.61
-0.905,0.264,-0.255,-0.061,0.732,0.61
-0.903,0.264,-0.253,-0.122,0.732,0.0

-0.936,0.329,-0.37,12.085,-1.282,42.297
-0.92,0.364,-0.368,15.625,-4.7,40.833
-0.906,0.368,-0.328,18.005,-5.737,40.161
-0.896,0.359,-0.297,19.958,-3.662,40.771
-0.885,0.344,-0.287,20.447,0.793,41.87
-0.882,0.3,-0.261,14.16,7.812,42.236
-0.915,0.141,-0.216,8.179,11.414,40.833
-0.916,0.087,-0.214,6.104,11.414,40.649
-0.928,-0.119,-0.178,-10.376,9.094,38.208
-0.889,-0.222,-0.188,-9.583,15.381,53.833
-0.894,-0.462,-0.119,-21.118,17.517,60.242
-0.867,-0.547,-0.257,-21.912,30.64,85.083
-0.838,-0.552,-0.34,-22.949,38.391,109.497
-0.942,-0.222,-0.016,-66.162,56.702,121.277
-0.929,-0.204,-0.117,-45.715,67.261,127.258
-0.864,0.352,0.191,-72.021,56.885,120.483
-0.531,0.078,-0.119,-58.533,68.054,113.77
-0.68,-0.52,0.064,-10.315,37.415,115.845
-0.92,-0.5,-0.075,27.1,37.231,105.347
-0.974,-0.464,-0.119,44.922,12.634,97.351
-1.071,-0.194,-0.112,67.688,-29.053,41.565
-1.391,-0.008,-0.151,27.649,-12.146,33.081
-1.57,-0.071,-0.407,42.053,-12.695,-20.691
-2.094,-1.001,-0.283,0.0,-12.146,-24.658
-1.993,-0.287,0.096,-39.673,44.495,-40.466
-2.091,0.681,0.208,21.484,20.081,-96.985
-2.165,0.767,0.177,80.75,8.545,-124.878
-2.503,0.624,-0.27,165.1,-23.071,-162.476
-2.579,0.512,-0.624,216.37,-50.598,-204.529
-2.529,0.039,-1.034,241.821,-69.031,-219.543
-1.451,-0.528,-0.696,132.08,23.438,-168.945
-0.432,-0.629,-0.122,83.74,100.891,-110.291
0.383,-4.0,-1.734,-153.32,110.962,15.686
-0.956,-3.307,-0.962,-4.944,17.273,206.848
-0.701,-0.966,-0.167,62.012,-39.612,178.65
0.087,0.6,0.34,174.072,-36.316,155.273
-0.307,1.327,0.688,-15.991,12.695,153.137
-0.742,2.289,-0.613,-178.65,11.841,71.228
-0.494,0.281,-0.211,38.635,-71.045,14.893
-0.057,0.591,-0.139,-92.102,0.183,79.834
0.12,0.413,-0.259,-108.704,-50.598,41.931
-0.032,0.417,0.125,-52.368,-7.202,4.028
-0.023,0.372,0.102,-43.64,-24.902,-25.818
0.177,0.28,-0.059,-25.574,-13.0,-109.009
0.204,0.003,-0.046,-62.866,-23.865,-150.024
0.068,-0.213,0.307,-147.339,11.658,-121.643
0.095,-0.258,0.323,-183.044,37.476,-99.915
-0.61,-1.664,2.0,-314.758,75.623,-36.255
-4.0,0.911,0.56,243.408,-129.578,175.72
-2.821,0.724,2.098,203.796,105.103,365.234
-2.391,2.162,1.558,-57.739,119.873,291.138
-1.858,1.287,-0.104,190.186,-19.47,22.888
-1.699,0.111,-0.503,204.285,-36.255,38.635
-1.267,-0.153,-0.311,-21.301,25.208,-47.302
-1.149,0.092,-0.563,-117.676,31.067,-152.832
-1.597,-1.478,-0.188,-118.347,165.649,-51.453
-1.973,-0.975,0.428,34.363,-31.799,-45.837
-0.746,0.438,-0.432,-5.005,-48.462,-56.885
-0.271,0.916,-0.524,-3.418,-23.804,-36.255
-0.624,0.063,-0.236,28.259,-46.814,-139.099
-1.047,-0.126,-0.171,1.16,-2.38,-57.739
-1.121,-0.155,-0.082,-9.521,-3.845,-57.678
-0.759,-0.516,0.014,-43.64,-21.179,-45.776
-0.635,-0.263,-0.018,-37.964,-48.889,-46.387
-0.844,-0.246,-0.015,-0.916,-21.79,-94.666
-0.732,-0.257,-0.146,-15.32,-69.763,-107.666
